"","game_id","date","home_team","away_team","home_score","away_score","avg_spread_home","avg_spread_money_home","avg_spread_money_away","avg_money_home","avg_money_away"
"2650","MLB_SEA_OAK_20110312",20110312,"SEA","OAK",10,2,2,130,-150,-147.166666666667,129.833333333333
"2651","MLB_CWS_TEX_20110312",20110312,"CWS","TEX",1,4,2,125,-145,-141.166666666667,123.833333333333
"2652","MLB_CLE_LAA_20110312",20110312,"CLE","LAA",2,1,2,145,-165,-132.666666666667,115.5
"2686","MLB_BAL_PIT_20110314",20110314,"BAL","PIT",8,2,2,125,NA,-145.166666666667,128
"2687","MLB_SEA_CHC_20110314",20110314,"SEA","CHC",5,3,2,145,-165,-129.666666666667,112.666666666667
"2688","MLB_TEX_LAD_20110314",20110314,"TEX","LAD",5,4,2,130,-150,-132.333333333333,115.333333333333
"2689","MLB_SF_MIL_20110314",20110314,"SF","MIL",8,12,1,NA,-165,-128.833333333333,111.833333333333
"2690","MLB_CLE_OAK_20110314",20110314,"CLE","OAK",9,8,2,130,-150,-134,117
"2691","MLB_CWS_SD_20110314",20110314,"CWS","SD",6,7,2,125,-145,-142,124.833333333333
"2692","MLB_COL_CIN_20110314",20110314,"COL","CIN",3,2,2,150,-170,-125.166666666667,108.333333333333
"2693","MLB_BOS_NYY_20110314",20110314,"BOS","NYY",2,1,2,145,NA,-129.666666666667,112.666666666667
"2704","MLB_DET_BOS_20110315",20110315,"DET","BOS",1,2,2,130,-150,-130.25,114.833333333333
"2705","MLB_TB_MIA_20110315",20110315,"TB","MIA",11,2,2,140,-160,-129.333333333333,112.333333333333
"2706","MLB_BAL_HOU_20110315",20110315,"BAL","HOU",8,14,2,140,-160,-137.666666666667,120.666666666667
"2707","MLB_TOR_PHI_20110315",20110315,"TOR","PHI",7,13,33,-150,130,66.6666666666667,-116.666666666667
"2708","MLB_STL_ATL_20110315",20110315,"STL","ATL",4,0,2,135,-155,-125,108
"2709","MLB_SD_LAA_20110315",20110315,"SD","LAA",6,9,2,158,-180,-110.833333333333,-105.833333333333
"2710","MLB_CLE_MIL_20110315",20110315,"CLE","MIL",9,7,2,165,-190,-38.8333333333333,-111.166666666667
"2711","MLB_LAD_TEX_20110315",20110315,"LAD","TEX",7,6,2,140,-160,-126.5,109.5
"2712","MLB_NYM_WSH_20110315",20110315,"NYM","WSH",5,2,3,144.5,-162.5,-133.833333333333,116.666666666667
"2713","MLB_ARI_SF_20110315",20110315,"ARI","SF",4,5,3,166.5,-187.5,-117,0.166666666666667
"2749","MLB_ATL_BOS_20110316",20110316,"ATL","BOS",4,3,2,145,-165,-123,106.166666666667
"2750","MLB_MIN_NYM_20110316",20110316,"MIN","NYM",4,3,2,135,-155,-137,119.833333333333
"2751","MLB_DET_STL_20110316",20110316,"DET","STL",4,9,2,150,-170,-122,105.166666666667
"2752","MLB_MIA_TB_20110316",20110316,"MIA","TB",3,6,2,150,-170,-128.666666666667,111.666666666667
"2753","MLB_PIT_TOR_20110316",20110316,"PIT","TOR",3,5,33,-155,135,32.5,-116
"2754","MLB_HOU_WSH_20110316",20110316,"HOU","WSH",8,7,2,135,-155,-129.5,110.6
"2755","MLB_CWS_SF_20110316",20110316,"CWS","SF",3,5,2,170,-200,114,-131
"2756","MLB_ARI_LAA_20110316",20110316,"ARI","LAA",8,10,2,140,-160,-114.5,-35.3333333333333
"2757","MLB_NYY_BAL_20110316",20110316,"NYY","BAL",10,0,2,125,-145,-141.833333333333,124.666666666667
"2758","MLB_TEX_COL_20110316",20110316,"TEX","COL",10,11,2,145,-165,-126.666666666667,109.666666666667
"2759","MLB_CIN_KC_20110316",20110316,"CIN","KC",3,5,2,170,-200,-38.5,-111.666666666667
"2760","MLB_SEA_MIL_20110316",20110316,"SEA","MIL",4,5,2,125,-145,-119.666666666667,102.833333333333
"2789","MLB_PIT_BAL_20110317",20110317,"PIT","BAL",3,13,33,-150,130,102.5,-119.333333333333
"2790","MLB_STL_MIA_20110317",20110317,"STL","MIA",2,5,2,140,-160,-131.666666666667,114.666666666667
"2791","MLB_DET_MIN_20110317",20110317,"DET","MIN",4,3,2,145,-165,-127.166666666667,110.166666666667
"2792","MLB_PHI_TOR_20110317",20110317,"PHI","TOR",6,7,2,120,-140,-148,130.666666666667
"2793","MLB_LAD_ARI_20110317",20110317,"LAD","ARI",6,4,2,135,-155,-134,117
"2794","MLB_OAK_CHC_20110317",20110317,"OAK","CHC",6,5,2,140,-160,-137.8,120.166666666667
"2795","MLB_CIN_CLE_20110317",20110317,"CIN","CLE",5,1,2,135,-155,-127.5,110.666666666667
"2796","MLB_ATL_WSH_20110317",20110317,"ATL","WSH",7,6,2,115,-135,-149.333333333333,131.833333333333
"2797","MLB_NYY_TB_20110317",20110317,"NYY","TB",3,2,2,125,-145,-142,125.333333333333
"2798","MLB_KC_SEA_20110317",20110317,"KC","SEA",9,1,2,170,-200,-109.833333333333,-106.833333333333
"2799","MLB_SF_LAA_20110317",20110317,"SF","LAA",4,0,2,130,-150,-137.333333333333,120.166666666667
"2800","MLB_SD_TEX_20110317",20110317,"SD","TEX",15,5,2,140,-160,-131,114
"2828","MLB_PHI_PIT_20110318",20110318,"PHI","PIT",3,2,2,-105,-115,-185,163.666666666667
"2829","MLB_MIA_HOU_20110318",20110318,"MIA","HOU",2,9,2,145,-165,-128.333333333333,111.333333333333
"2830","MLB_TOR_NYY_20110318",20110318,"TOR","NYY",6,5,2,140,-160,-123.333333333333,106.333333333333
"2831","MLB_WSH_STL_20110318",20110318,"WSH","STL",4,10,2,140,-160,-127.333333333333,110.333333333333
"2832","MLB_NYM_ATL_20110318",20110318,"NYM","ATL",3,0,2,155,-175,-113.8,-1.83333333333333
"2833","MLB_SEA_ARI_20110318",20110318,"SEA","ARI",5,8,2,165,-190,-112.166666666667,-104.5
"2834","MLB_CHC_CIN_20110318",20110318,"CHC","CIN",13,14,2,150,-170,-123.333333333333,106.5
"2835","MLB_SF_LAD_20110318",20110318,"SF","LAD",3,6,33,-155,135,-76.3333333333333,-73.6666666666667
"2836","MLB_LAA_SD_20110318",20110318,"LAA","SD",7,6,2,155,-175,-126.5,109.5
"2837","MLB_COL_MIL_20110318",20110318,"COL","MIL",9,7,2,150,-170,-121.8,105.5
"2838","MLB_CWS_OAK_20110318",20110318,"CWS","OAK",18,1,2,145,-165,-123.166666666667,106.333333333333
"2839","MLB_BAL_MIN_20110318",20110318,"BAL","MIN",2,3,2,160,-185,-113.8,-1
"2869","MLB_PIT_BOS_20110319",20110319,"PIT","BOS",7,5,33,-140,120,110,-127
"2870","MLB_BAL_PHI_20110319",20110319,"BAL","PHI",5,7,33,-150,130,103.5,-120.333333333333
"2871","MLB_MIN_TB_20110319",20110319,"MIN","TB",9,2,2,135,-155,-135.833333333333,118.666666666667
"2872","MLB_NYY_TOR_20110319",20110319,"NYY","TOR",5,5,2,140,-160,-131.5,114.5
"2873","MLB_SD_CHC_20110319",20110319,"SD","CHC",14,4,2,150,-170,-120.833333333333,104
"2874","MLB_LAA_CLE_20110319",20110319,"LAA","CLE",7,10,2,145,-165,-122.5,105.666666666667
"2875","MLB_SF_KC_20110319",20110319,"SF","KC",3,1,2,155,-175,-121.166666666667,104.333333333333
"2876","MLB_LAD_MIL_20110319",20110319,"LAD","MIL",6,6,2,140,-160,-128.166666666667,111.166666666667
"2877","MLB_TEX_SEA_20110319",20110319,"TEX","SEA",8,9,2,140,-160,-131.333333333333,114.333333333333
"2878","MLB_OAK_CWS_20110319",20110319,"OAK","CWS",8,3,2,150,-170,-131.666666666667,114.666666666667
"2903","MLB_TB_BAL_20110320",20110320,"TB","BAL",8,9,2,145,-165,-119.5,102.666666666667
"2904","MLB_WSH_DET_20110320",20110320,"WSH","DET",1,6,2,160,-185,-110.333333333333,-106.333333333333
"2905","MLB_TOR_MIN_20110320",20110320,"TOR","MIN",3,0,2,145,-165,-120.5,103.666666666667
"2906","MLB_PHI_NYY_20110320",20110320,"PHI","NYY",1,8,2,140,-160,-121.666666666667,104.833333333333
"2907","MLB_MIA_NYM_20110320",20110320,"MIA","NYM",5,0,2,140,-160,-127.666666666667,110.666666666667
"2908","MLB_BOS_STL_20110320",20110320,"BOS","STL",3,10,2,130,-150,-139,121.833333333333
"2909","MLB_MIL_CIN_20110320",20110320,"MIL","CIN",8,9,2,145,-165,-126.333333333333,109.333333333333
"2910","MLB_CWS_LAD_20110320",20110320,"CWS","LAD",7,9,2,140,-160,-127.833333333333,110.833333333333
"2911","MLB_SEA_SD_20110320",20110320,"SEA","SD",4,1,2,145,-165,-129,112.166666666667
"2912","MLB_KC_TEX_20110320",20110320,"KC","TEX",2,5,2,160,-185,-111.333333333333,-38.8333333333333
"2913","MLB_COL_LAA_20110320",20110320,"COL","LAA",6,6,2,160,-185,-109.166666666667,-107.5
"2935","MLB_HOU_DET_20110321",20110321,"HOU","DET",1,9,2,180,-220,60,-116
"2936","MLB_PIT_MIN_20110321",20110321,"PIT","MIN",1,4,33,-145,125,114.833333333333,-126.5
"2937","MLB_STL_WSH_20110321",20110321,"STL","WSH",2,7,2,125,-145,-147,128.833333333333
"2938","MLB_NYM_ATL_20110321",20110321,"NYM","ATL",8,7,2,135,-155,-129.5,121
"2939","MLB_TB_NYY_20110321",20110321,"TB","NYY",3,1,2,130,-150,-140.333333333333,123.166666666667
"2957","MLB_BAL_NYY_20110322",20110322,"BAL","NYY",6,2,63.3333333333333,-142,125.5,104.428571428571,-121.857142857143
"2958","MLB_DET_NYM_20110322",20110322,"DET","NYM",4,7,2,150,-170,-124.428571428571,78.2857142857143
"2959","MLB_TOR_PHI_20110322",20110322,"TOR","PHI",4,5,33,-145,125,76.2857142857143,-122.142857142857
"2960","MLB_MIA_MIN_20110322",20110322,"MIA","MIN",3,0,33,-150,130,107.428571428571,-124.857142857143
"2961","MLB_WSH_HOU_20110322",20110322,"WSH","HOU",3,1,9.66666666666667,195,-235,-130.285714285714,112.857142857143
"2962","MLB_MIL_SD_20110322",20110322,"MIL","SD",7,0,2,140,-160,-136.714285714286,119
"2963","MLB_SEA_CWS_20110322",20110322,"SEA","CWS",9,5,2,150,-170,-125.142857142857,109
"2964","MLB_LAD_CHC_20110322",20110322,"LAD","CHC",2,1,2,145,-165,-123.428571428571,106
"2965","MLB_CIN_OAK_20110322",20110322,"CIN","OAK",8,10,9.66666666666667,205,-245,-131,113.571428571429
"2966","MLB_ARI_CLE_20110322",20110322,"ARI","CLE",3,7,2,125,-145,-142.142857142857,124.571428571429
"2967","MLB_BOS_TB_20110322",20110322,"BOS","TB",4,7,33,-135,115,42.8571428571429,-117
"2968","MLB_KC_LAA_20110322",20110322,"KC","LAA",6,14,2,150,-170,-128.714285714286,113.857142857143
"2986","MLB_ATL_MIA_20110323",20110323,"ATL","MIA",4,4,2,140,-160,-128.714285714286,111.285714285714
"2987","MLB_PIT_HOU_20110323",20110323,"PIT","HOU",6,10,2,165,-190,-45.4285714285714,-114.428571428571
"2988","MLB_STL_NYM_20110323",20110323,"STL","NYM",0,0,8,14,-142,-137.428571428571,119.714285714286
"2989","MLB_TB_PHI_20110323",20110323,"TB","PHI",4,1,33,-160,140,-114,-74.5714285714286
"2990","MLB_TEX_ARI_20110323",20110323,"TEX","ARI",8,9,2,135,-155,-122.142857142857,104.571428571429
"2991","MLB_SD_CIN_20110323",20110323,"SD","CIN",10,7,2,140,-160,-130.285714285714,112.714285714286
"2992","MLB_CLE_KC_20110323",20110323,"CLE","KC",8,7,2,140,-160,-132.285714285714,114.857142857143
"2993","MLB_CWS_LAD_20110323",20110323,"CWS","LAD",2,6,2,150,-170,-129.142857142857,111.428571428571
"2994","MLB_CHC_OAK_20110323",20110323,"CHC","OAK",3,1,2,155,-175,-82.4285714285714,-48.7142857142857
"2995","MLB_LAA_SF_20110323",20110323,"LAA","SF",8,0,2,145,-165,-120.857142857143,75
"2996","MLB_MIN_BAL_20110323",20110323,"MIN","BAL",5,2,9.66666666666667,205,-245,-128.428571428571,111
"2997","MLB_NYY_TOR_20110323",20110323,"NYY","TOR",5,3,2,150,-170,-129.571428571429,112.142857142857
"2998","MLB_COL_SEA_20110323",20110323,"COL","SEA",6,5,2,130,-150,-136.428571428571,118.714285714286
"3018","MLB_MIA_BOS_20110324",20110324,"MIA","BOS",15,7,33,-140,120,115.166666666667,-132.166666666667
"3019","MLB_PHI_MIN_20110324",20110324,"PHI","MIN",3,7,2,160,-185,-111.714285714286,-105.142857142857
"3020","MLB_HOU_TB_20110324",20110324,"HOU","TB",3,11,2,160,-185,-112.571428571429,-75.7142857142857
"3021","MLB_TOR_ATL_20110324",20110324,"TOR","ATL",3,5,9.66666666666667,210,-250,-133.857142857143,116.142857142857
"3022","MLB_NYM_STL_20110324",20110324,"NYM","STL",16,3,2,150,-170,-113,-46.8571428571429
"3023","MLB_LAD_COL_20110324",20110324,"LAD","COL",7,5,9.66666666666667,210,-250,-129.571428571429,111.666666666667
"3024","MLB_SEA_KC_20110324",20110324,"SEA","KC",8,9,2,155,-175,-122,76.1428571428571
"3025","MLB_LAA_MIL_20110324",20110324,"LAA","MIL",8,11,2,140,-160,-133,115.428571428571
"3026","MLB_ARI_OAK_20110324",20110324,"ARI","OAK",7,15,2,155,-175,-114.142857142857,-45.7142857142857
"3027","MLB_CHC_CWS_20110324",20110324,"CHC","CWS",8,7,2,155,-175,-121.428571428571,75.5714285714286
"3028","MLB_DET_WSH_20110324",20110324,"DET","WSH",2,5,2,135,-155,-142.142857142857,124.714285714286
