FighterID,gender
2951146/dave-beneteau,M
3032040/andrew-benibe,M
3032218/gabriel-benitez,M
4884878/juan-jose-benito-solorzano,M
2570363/devin-benjamin,M
4684170/loren-benjar,M
2557552/danny-bennett,M
4422354/james-bennett,M
2502452/jeremy-bennett,M
2501990/pat-bennett,M
4810824/robert-bennett,M
2506560/lance-benoist,M
2992191/ryan-benoit,M
4895372/antoine-bensimon,M
2501943/mike-berardi,M
4286084/arnold-berdon,M
2971111/ian-berg,M
4888696/stephan-berg,M
3038064/roger-berger,M
2560082/mathieu-bergeron,M
2504260/bret-bergmark,M
3113693/keith-berish,M
2504979/aaron-berke,M
4085672/mukhamed-berkhamov,M
3162115/josh-berkovic,M
2488765/marco-bermudaz,M
2527805/dennis-bermudez,M
4066141/manny-bermudez,M
2556724/josh-bernal,M
2354268/brad-bernard,M
3044663/andreas-bernhard,M
2951148/dave-berry,M
2560059/keith-berry,M
2527769/robert-berry,M
2504611/dieusel-berto,M
2526826/edson-berto,M
2537063/allen-berube,M
3039664/anton-berzin,M
2980870/pedro-bessa,M
2951149/scott-bessac,M
2989137/matt-bessette,M
3162028/khadzhi-bestaev,M
4693785/moric-besztercei,M
2354112/fernando-bettega,M
3031283/matt-betzold,M
2511450/claes-beverlov,M
4425599/ken-beverly,M
2558470/cees-bezems,M
2558498/alexandre-bezerra,M
4876270/alexander-bezkorovayny,M
4230824/arjan-bhullar,M
4689219/kb-bhullar,M
4781220/deliya-bi,M
2554872/trent-bibbs,M
3151939/magomed-bibulatov,M
3122042/sid-bice,M
2558454/rob-biegley,M
2335763/david-bielkheden,M
3074492/kris-bien,M
3918219/vitaly-bigdash,M
2499915/mario-bigola,M
4566644/luthando-biko,M
4293153/dmitry-bikrev,M
2556911/henrique-bilcalho,M
4884867/jonas-bilharinho,M
4208419/manuel-bilic,M
2501789/bill-billington,M
2546688/jeremiah-billington,M
3024142/jonas-billstein,M
4892415/xie-bin,M
2557518/anthony-birchak,M
4081555/chris-birchler,M
2500890/ben-birtcher,M
2335602/michael-bisping,M
2558104/amaury-bitetti,M
2557778/bitoca-bitoca,M
2501844/tariel-bitsadze,M
3120454/caio-bittencourt,M
4835138/caio-bittencourt,M
2972873/drew-bittner,M
4610393/christian-bizarretty,M
4081551/jeffrey-blachly,M
2506250/jan-blachowicz,M
2354308/jason-black,M
3121803/jay-black,M
4341545/willis-black,M
